time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-10-07T11:58:45.550Z,38.8396683,-122.8243332,1.54,0.57,md,13,91,0.008777,0.01,nc,nc73288025,2019-10-07T12:36:03.785Z,"9km WNW of Cobb, CA",earthquake,0.3,0.66,,1,automatic,nc,nc
2019-10-07T11:44:54.380Z,38.8191681,-122.8426666,1.75,1.86,md,33,55,0.00715,0.07,nc,nc73288015,2019-10-07T14:22:04.146Z,"9km WNW of The Geysers, CA",earthquake,0.19,0.29,0.16,14,automatic,nc,nc
2019-10-07T11:44:47.790Z,38.8181648,-122.7994995,3.87,0.55,md,10,141,0.009773,0.03,nc,nc73288010,2019-10-07T13:55:03.296Z,"6km NW of The Geysers, CA",earthquake,0.52,1.39,,1,automatic,nc,nc
2019-10-07T11:39:56.160Z,33.5051667,-116.7861667,7.04,0.5,ml,18,46,0.07263,0.12,ci,ci39116432,2019-10-07T13:01:02.471Z,"10km NE of Aguanga, CA",earthquake,0.24,0.75,0.122,11,reviewed,ci,ci
2019-10-07T11:37:35.060Z,34.3093333,-116.423,7.63,1.09,ml,18,74,0.03792,0.23,ci,ci39116424,2019-10-07T11:41:16.802Z,"22km N of Yucca Valley, CA",earthquake,0.46,0.87,0.165,23,automatic,ci,ci
2019-10-07T11:26:49.990Z,37.6461678,-118.9524994,4.56,1.11,md,14,123,0.02226,0.03,nc,nc73288005,2019-10-07T13:28:02.131Z,"2km ENE of Mammoth Lakes, CA",earthquake,0.7,0.97,0.1,14,automatic,nc,nc
2019-10-07T11:11:49.039Z,36.277,-97.5,6.48,1.11,ml,41,72,0.2150577983,0.22,ok,ok2019tqpn,2019-10-07T14:16:42.083Z,"19km W of Perry, Oklahoma",earthquake,,0.7,0.25,7,reviewed,ok,ok
2019-10-07T11:04:34.690Z,35.5208333,-116.3165,2.08,2.51,ml,18,88,0.3315,0.15,ci,ci39116408,2019-10-07T16:27:27.117Z,"36km NW of Baker, CA",earthquake,0.22,1.01,0.138,98,reviewed,ci,ci
2019-10-07T11:04:15.740Z,35.834,-117.6615,2.66,1.64,ml,26,48,0.0551,0.17,ci,ci39116400,2019-10-07T16:21:11.392Z,"24km N of Ridgecrest, CA",earthquake,0.21,0.32,0.161,26,automatic,ci,ci
2019-10-07T11:03:57.450Z,38.7966652,-122.7365036,1.98,0.62,md,7,156,0.01628,0.02,nc,nc73287995,2019-10-07T12:47:02.865Z,"3km NE of The Geysers, CA",earthquake,0.59,1.14,0.06,2,automatic,nc,nc
2019-10-07T11:00:39.150Z,35.8298333,-117.6498333,9.36,1.32,ml,21,54,0.04479,0.13,ci,ci39116392,2019-10-07T11:04:24.496Z,"23km WNW of Searles Valley, CA",earthquake,0.23,0.53,0.084,11,automatic,ci,ci
2019-10-07T11:00:19.920Z,35.6623333,-117.4558333,3.12,1.28,ml,26,53,0.02633,0.19,ci,ci39116384,2019-10-07T11:04:07.383Z,"13km SSW of Searles Valley, CA",earthquake,0.3,0.38,0.166,16,automatic,ci,ci
2019-10-07T10:56:09.222Z,66.2962,-149.503,0,1.4,ml,,,,1.09,ak,ak019cv8rj4x,2019-10-07T11:02:20.614Z,"111km SSE of Coldfoot, Alaska",earthquake,,0.4,,,automatic,ak,ak
2019-10-07T10:53:56.510Z,33.5896667,-116.7095,13.13,0.59,ml,24,61,0.03353,0.11,ci,ci39116376,2019-10-07T10:57:34.458Z,"5km NW of Anza, CA",earthquake,0.25,0.42,0.132,22,automatic,ci,ci
2019-10-07T10:44:13.880Z,35.6433333,-117.4565,7.64,0.61,ml,16,61,0.03445,0.19,ci,ci39116368,2019-10-07T13:01:57.475Z,"15km SSW of Searles Valley, CA",earthquake,0.47,0.63,0.072,7,reviewed,ci,ci
